,pearsons,spearmans,dataset
587,0.21590199979712166,0.19502561795757842,Train
588,0.48104111650234593,0.44033621245759585,Train
589,-0.10219065393449304,-0.17401067334301476,Train
590,0.16010877798858753,0.08840743612136016,Train
591,0.38349158616415935,0.3480052899693147,Train
592,0.4362859917415783,0.4549626147671968,Train
593,0.382306096233438,0.2592709929074768,Train
594,-0.2314436078945541,-0.2278677380644617,Train
595,0.1306155494490614,0.16819389004875476,Train
596,0.17549758997348308,0.3526186973363588,Train
597,0.038134199774641296,0.10311110699846983,Train
598,0.30012117907592006,0.43807071812936443,Train
599,0.38823351628984915,0.3959599178571902,Train
